Date,Open,High,Low,Close,Adj Close,Volume
2020-09-09,34.430740,34.772297,34.288425,34.326378,31.940519,27490533
2020-09-10,34.345352,34.459202,33.757114,33.823528,31.472624,21650741
2020-09-11,33.908916,34.259960,33.633778,34.222012,31.843416,24109301
2020-09-14,34.497154,35.616699,34.421253,35.113853,32.673267,29565543
2020-09-15,35.284630,35.436432,34.924099,35.066414,32.629124,22003726
2020-09-16,35.370018,35.398483,34.838711,34.895638,32.470215,22208412
2020-09-17,34.895638,35.075901,34.677418,34.933586,32.505527,17894390
2020-09-18,34.895638,35.170776,34.696396,34.753323,32.337791,31694623
2020-09-21,34.506641,34.611008,33.567364,34.174572,31.799269,26608968
2020-09-22,33.975330,34.468693,33.908916,34.392788,32.002316,22727297
2020-09-23,34.478176,34.516129,34.127136,34.155598,31.781612,23102521
2020-09-24,34.108158,34.193546,33.719166,33.927895,31.569735,20859925
2020-09-25,33.719166,34.297913,33.700191,34.203037,31.825760,14365598
2020-09-28,34.307400,34.705883,34.307400,34.525616,32.125912,15044269
2020-09-29,34.563568,34.667931,34.184059,34.316887,31.931696,13512491
2020-09-30,34.411766,35.066414,34.392788,34.819733,32.399586,22629275
2020-10-01,35.018974,35.189754,34.307400,34.506641,32.108257,22520396
2020-10-02,34.212524,34.781784,34.184059,34.516129,32.117088,21461759
2020-10-05,34.658443,34.990513,34.478176,34.867172,32.443729,19400029
2020-10-06,35.104362,35.132828,34.240986,34.316887,31.931696,25233392
2020-10-07,34.402279,34.715370,34.184059,34.601517,32.196537,22160034
2020-10-08,34.724857,35.275143,34.639469,35.000000,32.567326,17857395
2020-10-09,34.943073,35.218216,34.715370,34.905125,32.479046,23667465
2020-10-12,34.819733,35.275143,34.601517,34.933586,32.505527,19413837
2020-10-13,34.791271,35.227703,34.753323,35.009487,32.576153,21543233
2020-10-14,35.113853,35.388992,34.696396,34.971539,32.540848,22120298
2020-10-15,34.753323,34.857685,34.544594,34.677418,32.267162,16089205
2020-10-16,35.170776,36.166985,35.123341,36.005692,33.503113,42993503
2020-10-19,36.451614,36.859585,35.711575,35.863377,33.370686,31931352
